"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Adam Gase","Vance Joseph",1,"DC",1,"DC",32,26.28,80,"MIA","NYJ",2016,2020,2016,2016,1,1,0,0,2,1,2,1
"Al Groh","Ken Whisenhunt",1,"aSTC",1,"aSTC",9,8,16,"NYJ","NYJ",2000,2000,2000,2000,1,1,1,1,3,0,3,0
"Al Groh","Mike Nolan",1,"DC",1,"DC",9,8,16,"NYJ","NYJ",2000,2000,2000,2000,1,1,1,1,2,1,2,1
"Al Groh","Todd Bowles",1,"aDC",1,"aDC",9,8,16,"NYJ","NYJ",2000,2000,2000,2000,1,1,1,1,2,0,2,0
"Al Groh","Todd Haley",1,"aOC",1,"aOC",9,8,16,"NYJ","NYJ",2000,2000,2000,2000,1,1,1,1,1,0,1,0
"Al Saunders","Gunther Cunningham",3,"aDC",3,"aDC",17,14.22,39,"LAC","LAC",1986,1988,1986,1988,3,1,0,0,2,0,2,0
"Alex Webster","Joe Walton",5,"OC",3,"OC",29,30.19,70,"NYG","NYG",1969,1973,1969,1973,5,1,0,0,1,1,1,1
"Allie Sherman","Alex Webster",2,"aOC",2,"aOC",15,15.45,42,"NYG","NYG",1966,1968,1967,1968,2,1,0,0,1,0,1,0
"Allie Sherman","Harland Svare",2,"DC",2,"DC",15,15.45,42,"NYG","NYG",1966,1968,1967,1968,2,1,0,0,2,1,2,1
"Allie Sherman","Jack Patera",2,"aDC",2,"aDC",15,15.45,42,"NYG","NYG",1966,1968,1967,1968,2,1,0,0,2,0,2,0
"Andy Reid","Brad Childress",7,"OC",4,"OC",247,240.25,386,"PHI","KC",1999,2022,1999,2005,7,1,1,1,1,1,1,1
"Andy Reid","David Culley",24,"aOC",20,"aOC",247,240.25,386,"PHI","KC",1999,2022,1999,2016,18,1.33333333333333,1,1,1,0,1,0
"Andy Reid","Doug Pederson",7,"aOC",4,"OC",247,240.25,386,"PHI","KC",1999,2022,2009,2015,7,1,1,1,1,0,1,1
"Andy Reid","John Harbaugh",9,"STC",8,"aDC",247,240.25,386,"PHI","KC",1999,2022,1999,2007,9,1,1,1,3,1,2,0
"Andy Reid","Leslie Frazier",4,"aDC",4,"aDC",247,240.25,386,"PHI","KC",1999,2022,1999,2002,4,1,1,1,2,0,2,0
"Andy Reid","Matt Nagy",10,"aOC",6,"OC",247,240.25,386,"PHI","KC",1999,2022,2008,2017,10,1,1,1,1,0,1,1
"Andy Reid","Pat Shurmur",13,"aOC",13,"aOC",247,240.25,386,"PHI","KC",1999,2022,1999,2008,10,1.3,1,1,1,0,1,0
"Andy Reid","Ron Rivera",5,"aDC",5,"aDC",247,240.25,386,"PHI","KC",1999,2022,1999,2003,5,1,1,1,2,0,2,0
"Andy Reid","Sean McDermott",12,"aDC",7,"DC",247,240.25,386,"PHI","KC",1999,2022,1999,2010,12,1,1,1,2,0,2,1
"Andy Reid","Steve Spagnuolo",10,"aDC",8,"aDC",247,240.25,386,"PHI","KC",1999,2022,1999,2006,8,1.25,1,1,2,0,2,0
"Andy Reid","Todd Bowles",1,"aDC",1,"aDC",247,240.25,386,"PHI","KC",1999,2022,2012,2012,1,1,1,1,2,0,2,0
"Anthony Lynn","Nick Sirianni",1,"aOC",1,"aOC",33,35.66,64,"LAC","LAC",2017,2020,2017,2017,1,1,1,1,1,0,1,0
"Art Shell","Chuck Pagano",1,"aDC",1,"aDC",56,48.72,108,"LV","LV",1989,2006,2006,2006,1,1,0,1,2,0,2,0
"Art Shell","Gunther Cunningham",3,"DC",2,"DC",56,48.72,108,"LV","LV",1989,2006,1991,1993,3,1,0,1,2,1,2,1
"Art Shell","Jim Haslett",2,"aDC",2,"aDC",56,48.72,108,"LV","LV",1989,2006,1993,1994,2,1,0,1,2,0,2,0
"Art Shell","John Fox",1,"DC",1,"DC",56,48.72,108,"LV","LV",1989,2006,1994,1994,1,1,0,1,2,1,2,1
"Art Shell","Mike White",10,"aOC",10,"aOC",56,48.72,108,"LV","LV",1989,2006,1990,1994,5,2,0,1,1,0,1,0
"Barry Switzer","Butch Davis",2,"aDC",1,"DC",40,40.84,64,"DAL","DAL",1994,1997,1994,1994,1,2,1,1,2,0,2,1
"Barry Switzer","Dave Campo",4,"DC",3,"DC",40,40.84,64,"DAL","DAL",1994,1997,1994,1997,4,1,1,1,2,1,2,1
"Barry Switzer","Mike Zimmer",4,"aDC",3,"aDC",40,40.84,64,"DAL","DAL",1994,1997,1994,1997,4,1,1,1,2,0,2,0
"Bart Starr","Dick LeBeau",4,"aDC",4,"aDC",52,50.59,131,"GB","GB",1975,1983,1976,1979,4,1,0,0,2,0,2,0
"Bill Arnsparger","Marty Schottenheimer",2,"aDC",2,"aDC",7,8.96,35,"NYG","NYG",1974,1976,1975,1976,2,1,0,0,2,0,2,0
"Bill Austin","Harland Svare",1,"DC",1,"DC",17,22.05,56,"PIT","WAS",1966,1970,1970,1970,1,1,0,0,2,1,2,1
"Bill Austin","Mike McCormack",1,"aDC",1,"aDC",17,22.05,56,"PIT","WAS",1966,1970,1970,1970,1,1,0,0,2,0,2,0
"Bill Belichick","Al Groh",1,"aDC",1,"aDC",298,295.37,450,"CLE","NE",1991,2022,1992,1992,1,1,1,1,2,0,2,0
"Bill Belichick","Bill O'Brien",5,"aOC",4,"OC",298,295.37,450,"CLE","NE",1991,2022,2007,2011,5,1,1,1,1,0,1,1
"Bill Belichick","Brian Flores",16,"aDC",8,"aDC",298,295.37,450,"CLE","NE",1991,2022,2004,2018,15,1.06666666666667,1,1,2,0,2,0
"Bill Belichick","Eric Mangini",7,"aDC",5,"DC",298,295.37,450,"CLE","NE",1991,2022,1995,2005,7,1,1,1,2,0,2,1
"Bill Belichick","Jim Schwartz",3,"Scout",3,"Scout",298,295.37,450,"CLE","NE",1991,2022,1993,1995,3,1,1,1,3,0,3,0
"Bill Belichick","Joe Judge",9,"STC",5,"STC",298,295.37,450,"CLE","NE",1991,2022,2012,2019,8,1.125,1,1,3,1,3,1
