Season,Coach,sb,sba,coy
1966,Vince Lombardi,1,0,0
1966,Hank Stram,0,1,0
1966,Tom Landry,0,0,1
1967,Vince Lombardi,1,0,0
1967,John Rauch,0,1,0
1967,Don Shula,0,0,1
1967,George Allen,0,0,1
1968,Weeb Ewbank,1,0,0
1968,Don Shula,0,1,1
1969,Hank Stram,1,0,0
1969,Bud Grant,0,1,1
1970,Don McCafferty,1,0,0
1970,Tom Landry,0,1,0
1970,Paul Brown,0,0,1
1971,Tom Landry,1,0,0
1971,Don Shula,0,1,0
1971,George Allen,0,0,1
1972,Don Shula,1,0,1
1972,George Allen,0,1,0
1973,Don Shula,1,0,0
1973,Bud Grant,0,1,0
1973,Chuck Knox,0,0,1
1974,Chuck Noll,1,0,0
1974,Bud Grant,0,1,0
1974,Don Coryell,0,0,1
1975,Chuck Noll,1,0,0
1975,Tom Landry,0,1,0
1975,Ted Marchibroda,0,0,1
1976,John Madden,1,0,0
1976,Bud Grant,0,1,0
1976,Forrest Gregg,0,0,1
1977,Tom Landry,1,0,0
1977,Red Miller,0,1,1
1978,Chuck Noll,1,0,0
1978,Tom Landry,0,1,0
1978,Jack Patera,0,0,1
1979,Chuck Noll,1,0,0
1979,Ray Malavasi,0,1,0
1979,Jack Pardee,0,0,1
1980,Tom Flores,1,0,0
1980,Dick Vermeil,0,1,0
1980,Chuck Knox,0,0,1
1981,Bill Walsh,1,0,1
1981,Forrest Gregg,0,1,0
1982,Joe Gibbs,1,0,1
1982,Don Shula,0,1,0
1983,Tom Flores,1,0,0
1983,Joe Gibbs,0,1,1
1984,Bill Walsh,1,0,0
1984,Don Shula,0,1,0
1984,Chuck Knox,0,0,1
1985,Mike Ditka,1,0,1
1985,Raymond Berry,0,1,0
1986,Bill Parcells,1,0,1
1986,Dan Reeves,0,1,0
1987,Joe Gibbs,1,0,0
1987,Dan Reeves,0,1,0
1987,Jim Mora,0,0,1
1988,Bill Walsh,1,0,0
1988,Sam Wyche,0,1,0
1988,Mike Ditka,0,0,1
1989,George Seifert,1,0,0
1989,Dan Reeves,0,1,0
1989,Lindy Infante,0,0,1
1990,Bill Parcells,1,0,0
1990,Marv Levy,0,1,0
1990,Jimmy Johnson,0,0,1
1991,Joe Gibbs,1,0,0
1991,Marv Levy,0,1,0
1991,Wayne Fontes,0,0,1
1992,Jimmy Johnson,1,0,0
1992,Marv Levy,0,1,0
1992,Bill Cowher,0,0,1
1993,Jimmy Johnson,1,0,0
1993,Marv Levy,0,1,0
1993,Dan Reeves,0,0,1
1994,George Seifert,1,0,0
1994,Bobby Ross,0,1,0
1994,Bill Parcells,0,0,1
1995,Barry Switzer,1,0,0
1995,Bill Cowher,0,1,0
1995,Ray Rhodes,0,0,1
1996,Mike Holmgren,1,0,0
1996,Bill Parcells,0,1,0
1996,Dom Capers,0,0,1
1997,Mike Shanahan,1,0,0
1997,Mike Holmgren,0,1,0
1997,Jim Fassel,0,0,1
1998,Mike Shanahan,1,0,0
1998,Dan Reeves,0,1,1
1999,Dick Vermeil,1,0,1
1999,Jeff Fisher,0,1,0
2000,Brian Billick,1,0,0
2000,Jim Fassel,0,1,0
2000,Jim Haslett,0,0,1
2001,Bill Belichick,1,0,0
2001,Mike Martz,0,1,0
2001,Dick Jauron,0,0,1
2002,Jon Gruden,1,0,0
2002,Bill Callahan,0,1,0
2002,Andy Reid,0,0,1
2003,Bill Belichick,1,0,1
2003,John Fox,0,1,0
2004,Bill Belichick,1,0,0
2004,Andy Reid,0,1,0
2004,Marty Schottenheimer,0,0,1
2005,Bill Cowher,1,0,0
2005,Mike Holmgren,0,1,0
2005,Lovie Smith,0,0,1
2006,Tony Dungy,1,0,0
2006,Lovie Smith,0,1,0
2006,Sean Payton,0,0,1
2007,Tom Coughlin,1,0,0
2007,Bill Belichick,0,1,1
2008,Mike Tomlin,1,0,0
2008,Ken Whisenhunt,0,1,0
2008,Mike Smith,0,0,1
2009,Sean Payton,1,0,0
2009,Jim Caldwell,0,1,0
2009,Marvin Lewis,0,0,1
2010,Mike McCarthy,1,0,0
2010,Mike Tomlin,0,1,0
2010,Bill Belichick,0,0,1
2011,Tom Coughlin,1,0,0
2011,Bill Belichick,0,1,0
2011,Jim Harbaugh,0,0,1
2012,John Harbaugh,1,0,0
2012,Jim Harbaugh,0,1,0
2013,Pete Carroll,1,0,0
2013,John Fox,0,1,0
2013,Ron Rivera,0,0,1
2014,Bill Belichick,1,0,0
2014,Pete Carroll,0,1,0
2014,Bruce Arians,0,0,1
2015,Gary Kubiak,1,0,0
2015,Ron Rivera,0,1,1
2016,Bill Belichick,1,0,0
2016,Dan Quinn,0,1,0
2016,Jason Garrett,0,0,1
2017,Doug Pederson,1,0,0
2017,Bill Belichick,0,1,0
2017,Sean McVay,0,0,1
2018,Bill Belichick,1,0,0
2018,Sean McVay,0,1,0
2018,Matt Nagy,0,0,1
2019,Andy Reid,1,0,0
2019,Kyle Shanahan,0,1,0
2019,John Harbaugh,0,0,1
2020,Bruce Arians,1,0,0
2020,Andy Reid,0,1,0
2020,Kevin Stefanski,0,0,1
2021,Sean McVay,1,0,0
2021,Zac Taylor,0,1,0
2021,Mike Vrabel,0,0,1
2022,Andy Reid,1,0,0
2022,Nick Sirianni,0,1,0
2022,Brian Daboll,0,0,1
