Year,Age,Level,Employer,Role,Coach
1975,23,NFL,Baltimore Colts,Special Assistant,Bill Belichick
1976,24,NFL,Detroit Lions,Asst. Special Teams,Bill Belichick
1977,25,NFL,Detroit Lions,Receivers,Bill Belichick
1978,26,NFL,Denver Broncos,Defensive Assistant/Asst. Special Teams,Bill Belichick
1979,27,NFL,New York Giants,Defensive Assistant/Special Teams,Bill Belichick
1980,28,NFL,New York Giants,Linebackers/Special Teams,Bill Belichick
1981,29,NFL,New York Giants,Linebackers/Special Teams,Bill Belichick
1982,30,NFL,New York Giants,Linebackers/Special Teams,Bill Belichick
1983,31,NFL,New York Giants,Linebackers/Special Teams,Bill Belichick
1984,32,NFL,New York Giants,Linebackers/Special Teams,Bill Belichick
1985,33,NFL,New York Giants,Defensive Coordinator,Bill Belichick
1986,34,NFL,New York Giants,Defensive Coordinator,Bill Belichick
1987,35,NFL,New York Giants,Defensive Coordinator,Bill Belichick
1988,36,NFL,New York Giants,Defensive Coordinator,Bill Belichick
1989,37,NFL,New York Giants,Defensive Coordinator,Bill Belichick
1990,38,NFL,New York Giants,Defensive Coordinator,Bill Belichick
1991,39,NFL,Cleveland Browns,Head Coach,Bill Belichick
1992,40,NFL,Cleveland Browns,Head Coach,Bill Belichick
1993,41,NFL,Cleveland Browns,Head Coach,Bill Belichick
1994,42,NFL,Cleveland Browns,Head Coach,Bill Belichick
1995,43,NFL,Cleveland Browns,Head Coach,Bill Belichick
1996,44,NFL,New England Patriots,Asst. Head Coach/Defensive Backs,Bill Belichick
1997,45,NFL,New York Jets,Asst. Head Coach/Defensive Coordinator,Bill Belichick
1998,46,NFL,New York Jets,Asst. Head Coach/Defensive Coordinator,Bill Belichick
1999,47,NFL,New York Jets,Asst. Head Coach/Defensive Coordinator,Bill Belichick
2000,48,NFL,New England Patriots,Head Coach,Bill Belichick
2001,49,NFL,New England Patriots,Head Coach,Bill Belichick
2002,50,NFL,New England Patriots,Head Coach,Bill Belichick
2003,51,NFL,New England Patriots,Head Coach,Bill Belichick
2004,52,NFL,New England Patriots,Head Coach,Bill Belichick
2005,53,NFL,New England Patriots,Head Coach,Bill Belichick
2006,54,NFL,New England Patriots,Head Coach,Bill Belichick
