"Week","Day","Date","Time","W.T","L.T","PtsW","PtsL","YdsW","TOW","YdsL","TOL","Home","Away","T","HW","HL","AW","AL","Season","Home_Coach","Away_Coach"
1,"Fri","1966-09-02",NA,"Oakland Raiders","Miami Dolphins",23,14,257,6,182,5,0,1,0,0,1,1,0,1966,"George Wilson","John Rauch"
1,"Sat","1966-09-03",NA,"Houston Oilers","Denver Broncos",45,7,472,1,26,3,1,0,0,1,0,0,1,1966,"Wally Lemm","Mac Speedie"
1,"Sun","1966-09-04",NA,"San Diego Chargers","Buffalo Bills",27,7,290,0,267,3,1,0,0,1,0,0,1,1966,"Sid Gillman","Joe Collier"
2,"Fri","1966-09-09",NA,"New York Jets","Miami Dolphins",19,14,247,3,111,3,0,1,0,0,1,1,0,1966,"George Wilson","Weeb Ewbank"
2,"Sat","1966-09-10",NA,"San Diego Chargers","Boston Patriots",24,0,279,0,252,4,1,0,0,1,0,0,1,1966,"Sid Gillman","Mike Holovak"
2,"Sat","1966-09-10",NA,"Houston Oilers","Oakland Raiders",31,0,269,3,272,7,1,0,0,1,0,0,1,1966,"Wally Lemm","John Rauch"
2,"Sun","1966-09-11",NA,"Kansas City Chiefs","Buffalo Bills",42,20,388,1,195,1,0,1,0,0,1,1,0,1966,"Joe Collier","Hank Stram"
3,"Sun","1966-09-18",NA,"Boston Patriots","Denver Broncos",24,10,261,3,173,3,0,1,0,0,1,1,0,1966,"Mac Speedie","Mike Holovak"
3,"Sun","1966-09-18",NA,"New York Jets","Houston Oilers",52,13,466,0,207,5,1,0,0,1,0,0,1,1966,"Weeb Ewbank","Wally Lemm"
3,"Sun","1966-09-18",NA,"Kansas City Chiefs","Oakland Raiders",32,10,224,1,341,3,0,1,0,0,1,1,0,1966,"John Rauch","Hank Stram"
3,"Sun","1966-09-18",NA,"Buffalo Bills","Miami Dolphins",58,24,508,3,313,4,1,0,0,1,0,0,1,1966,"Joe Collier","George Wilson"
4,"Sun","1966-09-25",NA,"New York Jets","Denver Broncos",16,7,359,3,182,2,0,1,0,0,1,1,0,1966,"Ray Malavasi","Weeb Ewbank"
4,"Sun","1966-09-25",NA,"Kansas City Chiefs","Boston Patriots",43,24,395,2,308,4,0,1,0,0,1,1,0,1966,"Mike Holovak","Hank Stram"
4,"Sun","1966-09-25",NA,"San Diego Chargers","Oakland Raiders",29,20,276,2,262,4,0,1,0,0,1,1,0,1966,"John Rauch","Sid Gillman"
4,"Sun","1966-09-25",NA,"Buffalo Bills","Houston Oilers",27,20,276,3,300,5,1,0,0,1,0,0,1,1966,"Joe Collier","Wally Lemm"
5,"Sun","1966-10-02",NA,"Denver Broncos","Houston Oilers",40,38,362,2,384,3,1,0,0,1,0,0,1,1966,"Ray Malavasi","Wally Lemm"
5,"Sun","1966-10-02",NA,"New York Jets","Boston Patriots",24,24,367,4,224,1,0,1,1,0,0,0,0,1966,"Mike Holovak","Weeb Ewbank"
5,"Sun","1966-10-02",NA,"San Diego Chargers","Miami Dolphins",44,10,361,2,276,2,1,0,0,1,0,0,1,1966,"Sid Gillman","George Wilson"
5,"Sun","1966-10-02",NA,"Buffalo Bills","Kansas City Chiefs",29,14,361,1,265,3,0,1,0,0,1,1,0,1966,"Hank Stram","Joe Collier"
