"Season","Week","coach","team","tie","PF","PA","awin","win","pywin"
1966,1,"John Rauch","LV",0,23,14,1,1,0.764327894076601
1966,1,"Wally Lemm","TEN",0,45,7,1,1,0.987990594547214
1966,1,"Sid Gillman","LAC",0,27,7,1,1,0.960808917529777
1966,2,"Weeb Ewbank","NYJ",0,19,14,1,1,0.673433249228414
1966,2,"Sid Gillman","LAC",0,24,0,1,1,1
1966,2,"Wally Lemm","TEN",0,31,0,1,1,1
1966,2,"Hank Stram","KC",0,42,20,1,1,0.853008093340153
1966,3,"Mike Holovak","NE",0,24,10,1,1,0.888435674032338
1966,3,"Weeb Ewbank","NYJ",0,52,13,1,1,0.963928624963548
1966,3,"Hank Stram","KC",0,32,10,1,1,0.940288798013152
1966,3,"Joe Collier","BUF",0,58,24,1,1,0.890051020994087
1966,4,"Weeb Ewbank","NYJ",0,16,7,1,1,0.876449403694172
1966,4,"Hank Stram","KC",0,43,24,1,1,0.799321111569329
1966,4,"Sid Gillman","LAC",0,29,20,1,1,0.706947706527312
1966,4,"Joe Collier","BUF",0,27,20,1,1,0.670676837923633
1966,5,"Ray Malavasi","DEN",0,40,38,1,1,0.530353905103495
1966,5,"Weeb Ewbank","NYJ",1,24,24,0,0.5,0.5
1966,5,"Sid Gillman","LAC",0,44,10,1,1,0.97101047679447
1966,5,"Joe Collier","BUF",0,29,14,1,1,0.848890472128804
1966,6,"Weeb Ewbank","NYJ",0,17,16,1,1,0.535858421072182
1966,6,"Hank Stram","KC",0,37,10,1,1,0.956923621041265
1966,6,"Mike Holovak","NE",0,20,10,1,1,0.837909980755396
1966,6,"John Rauch","LV",0,21,10,1,1,0.853008093340153
1966,7,"Wally Lemm","TEN",0,24,0,1,1,1
1966,7,"George Wilson","MIA",0,24,7,1,1,0.948835063739334
1966,7,"John Rauch","LV",0,34,13,1,1,0.907084443874488
1966,7,"Sid Gillman","LAC",1,17,17,0,0.5,0.5
1966,8,"Mike Holovak","NE",0,35,17,1,1,0.847025463809625
1966,8,"George Wilson","MIA",0,20,13,1,1,0.73515867966055
1966,8,"Hank Stram","KC",0,56,10,1,1,0.98342191890333
1966,8,"John Rauch","LV",0,24,21,1,1,0.578463577852174
1966,9,"Mike Holovak","NE",0,24,21,1,1,0.578463577852174
1966,9,"Hank Stram","KC",0,48,23,1,1,0.851146935925501
1966,9,"Joe Collier","BUF",0,33,23,1,1,0.701740890199537
1966,9,"Sid Gillman","LAC",0,24,17,1,1,0.693656944691229
1966,10,"Hank Stram","KC",0,24,14,1,1,0.782010574267466
1966,10,"John Rauch","LV",0,38,23,1,1,0.766733535808575
1966,10,"Joe Collier","BUF",0,29,0,1,1,1
1966,10,"Ray Malavasi","DEN",0,17,10,1,1,0.778610780604855
1966,11,"Mike Holovak","NE",0,27,21,1,1,0.644652492448271
1966,11,"Hank Stram","KC",0,34,16,1,1,0.856490153464331
1966,11,"John Rauch","LV",0,41,19,1,1,0.86090720440211
1966,11,"Joe Collier","BUF",0,14,3,1,1,0.974688392735627
1966,12,"Weeb Ewbank","NYJ",0,30,13,1,1,0.878884389655756
1966,12,"John Rauch","LV",0,17,3,1,1,0.983873040676166
1966,12,"Mike Holovak","NE",1,27,27,0,0.5,0.5
1966,12,"Joe Collier","BUF",0,42,20,1,1,0.853008093340153
1966,13,"Joe Collier","BUF",0,31,10,1,1,0.935921517574395
1966,13,"Ray Malavasi","DEN",0,20,17,1,1,0.595119403385975
1966,13,"Mike Holovak","NE",0,20,14,1,1,0.699584404622778
1966,13,"Hank Stram","KC",0,32,24,1,1,0.66414177276322
1966,14,"John Rauch","LV",1,28,28,0,0.5,0.5
1966,14,"Ray Malavasi","DEN",0,17,7,1,1,0.891185555363331
1966,14,"Sid Gillman","LAC",0,28,22,1,1,0.639121692379551
1966,14,"Mike Holovak","NE",0,14,3,1,1,0.974688392735627
1966,15,"Mike Holovak","NE",0,38,14,1,1,0.914237875637107
1966,15,"Sid Gillman","LAC",0,42,27,1,1,0.740226019261953
1966,15,"Hank Stram","KC",0,19,18,1,1,0.531991066976493
1966,15,"John Rauch","LV",0,28,10,1,1,0.919841689546541
1966,16,"Weeb Ewbank","NYJ",0,38,28,1,1,0.673433249228415
1966,16,"George Wilson","MIA",0,29,28,1,1,0.520779631240738
1966,16,"Hank Stram","KC",0,27,17,1,1,0.749588297731208
1966,16,"Joe Collier","BUF",0,38,21,1,1,0.80306485593644
1967,1,"Lou Saban","DEN",0,26,21,1,1,0.623908349721205
1967,2,"Hank Stram","KC",0,25,20,1,1,0.629214903346367
1967,2,"Sid Gillman","LAC",0,28,14,1,1,0.837909980755396
1967,2,"Joe Collier","BUF",0,20,17,1,1,0.595119403385975
1967,2,"John Rauch","LV",0,51,0,1,1,1
1967,3,"Wally Lemm","TEN",0,20,3,1,1,0.988971409267863
1967,3,"John Rauch","LV",0,35,7,1,1,0.97842413351047
1967,3,"George Wilson","MIA",0,35,21,1,1,0.77041512892944
1967,4,"Hank Stram","KC",0,24,0,1,1,1
1967,4,"Sid Gillman","LAC",0,13,3,1,1,0.969974386159002
1967,4,"Mike Holovak","NE",0,23,0,1,1,1
1967,4,"Weeb Ewbank","NYJ",0,38,24,1,1,0.748210629257221
1967,5,"John Rauch","LV",0,23,21,1,1,0.553692947821963
1967,5,"Weeb Ewbank","NYJ",0,29,7,1,1,0.966711369677636
1967,5,"Sid Gillman","LAC",0,37,17,1,1,0.863321986247278
1967,5,"Wally Lemm","TEN",0,10,6,1,1,0.77041512892944
1967,6,"Weeb Ewbank","NYJ",0,27,14,1,1,0.825860259875795
1967,6,"Hank Stram","KC",0,41,0,1,1,1
1967,6,"Sid Gillman","LAC",1,31,31,0,0.5,0.5
1967,6,"Joe Collier","BUF",0,17,16,1,1,0.535858421072182
1967,7,"Wally Lemm","TEN",1,28,28,0,0.5,0.5
1967,7,"Sid Gillman","LAC",0,45,31,1,1,0.707493266683771
1967,7,"Mike Holovak","NE",0,41,10,1,1,0.965909096173442
1967,7,"John Rauch","LV",0,24,20,1,1,0.60637551614466
1967,8,"Weeb Ewbank","NYJ",0,33,14,1,1,0.884132234477282
1967,8,"Wally Lemm","TEN",0,24,19,1,1,0.634985989548147
1967,8,"John Rauch","LV",0,48,14,1,1,0.948835063739334
1967,8,"Sid Gillman","LAC",0,38,21,1,1,0.80306485593644
1967,9,"Wally Lemm","TEN",0,10,3,1,1,0.945494968407233
1967,9,"John Rauch","LV",0,51,10,1,1,0.979392957840053
1967,9,"Hank Stram","KC",0,52,9,1,1,0.984587218676708
1967,9,"Weeb Ewbank","NYJ",0,30,23,1,1,0.65242517728184
1967,10,"Joe Collier","BUF",0,35,13,1,1,0.912714990534126
1967,10,"Hank Stram","KC",0,42,18,1,1,0.881644481509043
