Head_Coach,Coach,weight,group,lrole
Adam Gase,Vance Joseph,1,DC,DC
Al Groh,Ken Whisenhunt,1,aSTC,aSTC
Al Groh,Mike Nolan,1,DC,DC
Al Groh,Todd Bowles,1,aDC,aDC
Al Groh,Todd Haley,1,aOC,aOC
Al Saunders,Gunther Cunningham,3,aDC,aDC
Alex Webster,Joe Walton,5,OC,OC
Allie Sherman,Alex Webster,2,aOC,aOC
Allie Sherman,Harland Svare,2,DC,DC
Allie Sherman,Jack Patera,2,aDC,aDC
Andy Reid,Brad Childress,7,OC,OC
Andy Reid,David Culley,24,aOC,aOC
Andy Reid,Doug Pederson,7,aOC,OC
Andy Reid,John Harbaugh,9,STC,aDC
Andy Reid,Leslie Frazier,4,aDC,aDC
Andy Reid,Matt Nagy,10,aOC,OC
Andy Reid,Pat Shurmur,13,aOC,aOC
Andy Reid,Ron Rivera,5,aDC,aDC
Andy Reid,Sean McDermott,12,aDC,DC
Andy Reid,Steve Spagnuolo,10,aDC,aDC
Andy Reid,Todd Bowles,1,aDC,aDC
Anthony Lynn,Nick Sirianni,1,aOC,aOC
Art Shell,Chuck Pagano,1,aDC,aDC
Art Shell,Gunther Cunningham,3,DC,DC
Art Shell,Jim Haslett,2,aDC,aDC
Art Shell,John Fox,1,DC,DC
Art Shell,Mike White,10,aOC,aOC
Barry Switzer,Butch Davis,2,aDC,DC
Barry Switzer,Dave Campo,4,DC,DC
Barry Switzer,Mike Zimmer,4,aDC,aDC
Bart Starr,Dick LeBeau,4,aDC,aDC
Bill Arnsparger,Marty Schottenheimer,2,aDC,aDC
Bill Austin,Harland Svare,1,DC,DC
Bill Austin,Mike McCormack,1,aDC,aDC
Bill Belichick,Al Groh,1,aDC,aDC
Bill Belichick,Bill O'Brien,5,aOC,OC
Bill Belichick,Brian Flores,16,aDC,aDC
Bill Belichick,Eric Mangini,7,aDC,DC
Bill Belichick,Jim Schwartz,3,Scout,Scout
Bill Belichick,Joe Judge,9,STC,STC
Bill Belichick,Josh McDaniels,11,aOC,OC
Bill Belichick,Matt Patricia,14,aDC,DC
Bill Belichick,Nick Saban,4,DC,DC
Bill Belichick,Rick Venturi,1,DC,DC
Bill Belichick,Romeo Crennel,6,DC,DC
Bill Callahan,Jim Harbaugh,2,aOC,aOC
Bill Callahan,Marc Trestman,2,OC,OC
Bill Cowher,Bruce Arians,3,aOC,aOC
Bill Cowher,Chan Gailey,4,aOC,OC
Bill Cowher,David Culley,3,aOC,aOC
Bill Cowher,Dick LeBeau,5,aDC,DC
Bill Cowher,Dom Capers,3,DC,DC
Bill Cowher,Jim Haslett,3,DC,DC
Bill Cowher,Ken Whisenhunt,6,aOC,OC
Bill Cowher,Marvin Lewis,4,aDC,aDC
Bill Cowher,Mike Mularkey,8,aOC,OC
Bill O'Brien,Mike Vrabel,4,aDC,DC
Bill Parcells,Al Groh,13,aDC,aDC
Bill Parcells,Anthony Lynn,2,aOC,aOC
Bill Parcells,Bill Belichick,10,DC,DC
Bill Parcells,Chris Palmer,4,aOC,aOC
Bill Parcells,Eric Mangini,6,aDC,aDC
Bill Parcells,Freddie Kitchens,1,aOC,aOC
Bill Parcells,Mike Zimmer,4,DC,DC
Bill Parcells,Ray Handley,7,aOC,aOC
Bill Parcells,Romeo Crennel,15,aDC,aDC
Bill Parcells,Sean Payton,6,aOC,aOC
Bill Parcells,Todd Bowles,2,aDC,aDC
